,Name,neg,neu,pos,compound,Stars,Title,Date,Description
0,Francis Mwasilu,0.0,0.208,0.792,0.5859,5,"5.0 out of 5 stars
Working perfectly",14/06/2024,Amazing performance
1,bill brewer,0.085,0.526,0.389,0.9848,5,"5.0 out of 5 stars
Great photo",8/5/2024,I’m not one to like apple but I have to say great phone great camera easy to use and costly for what you get but if you love phones I’d get one and I’m not a apple lover but yep I said get one I can lie about apple it was easy to use and function were great too
2,Garby,0.124,0.776,0.1,-0.3709,1,"1.0 out of 5 stars
Beware the iPhone 15 pro max is a defective product buyers are not warned about!",9/6/2024,"It has been well established in reviews that the iPhone 15 pro max “glass back” easily shatters and/or cracks! Something I was not warned about, and unfortunately learned after buying it!In addition, the seller only refunded me 1/2 of its cost!I feel extremely upset having to pay approximately $600 for something I was never able to use!"
3,Christina,0.0,0.778,0.222,0.7177,5,"5.0 out of 5 stars
Very Pleased",25/05/2024,"My phone came a day earlier than the original delivery date, phone looks and navigates as if it were brand new. I couldn’t be happier!"
4,juan leopoldo guajardo chapa,0.188,0.812,0.0,-0.5267,5,"5.0 out of 5 stars
It doesn’t feel like a refurbished iPhone",22/05/2024,"It’s an iPhone 15 pro max , no wear marks, no usage on the battery and it looks and feels brand new."
5,joe fulford,0.288,0.666,0.047,-0.8972,5,"5.0 out of 5 stars
Pray you can get a esim on it",5/5/2024,My problem is I’ve tried for two day to have a esim put on it and I can’t! Makes me wonder is something wrong with this phone after I spent well over a $ 1000 on it!!! Frustrated as crap
6,Ketuta,0.149,0.851,0.0,-0.6563,1,"1.0 out of 5 stars
Don’t buy from this seller!!!",24/05/2024,"I’m so mad!!! Was just scrolling my phone and the screen started to change color 🥹 I’m not in USA right now ,don’t know what to do"
7,Parabatai,0.0,0.804,0.196,0.5262,5,"5.0 out of 5 stars
Iphone15 pro Max",11/5/2024,"The phone is very nice, it is in excellent condition, a detail in the camera but nothing that affects its operation"
8,Peter Y. Qian,0.0,0.775,0.225,0.7391,4,"4.0 out of 5 stars
Cellphone is great like new but not included Apple OEM Woven USB cable, instead a cheap plastic one",15/03/2024,"Cellphone is great like new but not included Apple OEM Woven USB cable, instead a cheap plastic one.  Thought Renew package included all original OEM parts except a white-plain box."
9,OMONDI ODONDI,0.0,0.323,0.677,0.6369,5,"5.0 out of 5 stars
Iphone 15 pro max",4/5/2024,I love this phone
10,Good,0.0,0.767,0.233,0.836,5,"5.0 out of 5 stars
Amazing cellphone",,The delivery was perfect and I’ve been using the phone for almost five months now and everything is good.The camera is one of the best in the market.
