Date,Samsung
2010-06,3.86
2010-07,3.83
2010-08,4.07
2010-09,4.53
2010-10,4.68
2010-11,5.59
2010-12,6.6
2011-01,7.06
2011-02,7.36
2011-03,7.88
2011-04,8.56
2011-05,9.65
2011-06,10.77
2011-07,11.49
2011-08,12.84
2011-09,12.73
2011-10,12.64
2011-11,13.1
2011-12,13.63
2012-01,14.84
2012-02,14.91
2012-03,14.02
2012-04,14.03
2012-05,17.13
2012-06,17.92
2012-07,19.46
2012-08,20.64
2012-09,21.47
2012-10,21.79
2012-11,21.91
2012-12,22.94
2013-01,22.69
2013-02,23.04
2013-03,24.32
2013-04,25
2013-05,25.39
2013-06,25.47
2013-07,25.19
2013-08,25.69
2013-09,26.16
2013-10,25.54
2013-11,27.11
2013-12,27.48
2014-01,27.85
2014-02,30.4
2014-03,30.57
2014-04,31.59
2014-05,32.79
2014-06,32.6
2014-07,32.55
2014-08,32.77
2014-09,33.13
2014-10,33.68
2014-11,33.86
2014-12,33
2015-01,32.21
2015-02,32
2015-03,32.09
2015-04,32.26
2015-05,32.2
2015-06,31.57
2015-07,31.4
2015-08,31.73
2015-09,32.52
2015-10,32.64
2015-11,31.76
2015-12,30.92
2016-01,30.56
2016-02,30.63
2016-03,32.65
2016-04,32.34
2016-05,32.17
2016-06,32.49
2016-07,32.19
2016-08,32.17
2016-09,32.33
2016-10,32.7
2016-11,34.09
2016-12,33.63
2017-01,33.71
2017-02,33.11
2017-03,33.16
2017-04,33.02
2017-05,33.17
2017-06,33.1
2017-07,33.4
2017-08,33.12
2017-09,33.71
2017-10,32.63
2017-11,31.88
2017-12,31.65
2018-01,31.81
2018-02,31.94
2018-03,31.14
2018-04,30.76
2018-05,30.15
2018-06,30.66
2018-07,30.7
2018-08,30.9
2018-09,30.8
2018-10,30.07
2018-11,28.34
2018-12,30.91
2019-01,32.16
2019-02,31.52
2019-03,31.77
2019-04,32.16
2019-05,31.55
2019-06,31.98
2019-07,31.13
2019-08,31.47
2019-09,31.18
2019-10,31.49
2019-11,31.36
2019-12,31.37
2020-01,31.29
2020-02,30.91
2020-03,30.8
2020-04,30.41
2020-05,30.18
2020-06,31.06
2020-07,30.95
2020-08,31.04
2020-09,30.57
2020-10,30.25
2020-11,30.36
2020-12,29.14
2021-01,28.97
2021-02,28.52
2021-03,28.35
2021-04,28.15
2021-05,27.84
2021-06,27.48
2021-07,27.33
2021-08,27.92
2021-09,27.55
2021-10,27.06
2021-11,27.18
2021-12,26.93
2022-01,27.18
2022-02,27.68
2022-03,28.22
2022-04,27.94
2022-05,28.25
2022-06,28.24
2022-07,28.17
2022-08,28.76
2022-09,28.41
2022-10,28.21
2022-11,28.33
2022-12,27.38
2023-01,27.09
2023-02,26.75
2023-03,27.1
2023-04,26.05
2023-05,25.27
2023-06,24.59
2023-07,24.22
2023-08,24.16
2023-09,24.23
2023-10,24.69
2023-11,24.61
2023-12,24.15
2024-01,23.69
2024-02,23.77
2024-03,23.85
2024-04,23.95
2024-05,24.02
2024-06,23.72
